c1, c2, w, penalty, epochs
0.670175,0.935928,1,0,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR30x500-0.50_3.dat, 11.1331, 191933, 13.3146, 187221, 187221, 0.663567, 53066
data\OR30x500-0.50_4.dat, 8.22771, 199981, 12.5969, 190460, 190460, 1.32176, 54037
data\OR30x500-0.50_5.dat, 7.24747, 200057, 12.7236, 188246, 188246, 1.23276, 54058
data\OR30x500-0.50_6.dat, 9.39565, 195632, 12.1976, 189582, 189582, 1.00116, 53089
data\OR30x500-0.50_7.dat, 10.8936, 192387, 12.675, 188541, 188541, 0.693545, 53592
data\OR30x500-0.50_8.dat, 8.12591, 198946, 12.3398, 189821, 189821, 1.22245, 52968
data\OR30x500-0.50_9.dat, 10.9331, 193578, 12.8661, 189377, 189377, 0.640444, 53874
data\OR30x500-0.75_1.dat, 6.87893, 280923, 15.768, 254107, 254107, 3.05882, 51828
data\OR30x500-0.75_10.dat, 4.24224, 287821, 14.9822, 255540, 255540, 3.96476, 51460
data\OR30x500-0.75_2.dat, 7.68959, 276982, 14.2534, 257287, 257287, 3.63803, 52530
data\OR30x500-0.75_3.dat, 7.15534, 283257, 14.7734, 260015, 260015, 3.37976, 52729
data\OR30x500-0.75_4.dat, 9.5768, 273107, 16.1949, 253118, 253118, 2.5493, 51171
data\OR30x500-0.75_5.dat, 5.65358, 287249, 14.424, 260546, 260546, 3.40213, 52214
data\OR30x500-0.75_6.dat, 4.35067, 284090, 13.647, 256479, 256479, 4.65523, 52733
data\OR30x500-0.75_7.dat, 5.9071, 285444, 13.0694, 263716, 263716, 3.11196, 52902
data\OR30x500-0.75_8.dat, 6.65131, 286587, 13.9803, 264086, 264086, 4.08377, 52595
data\OR30x500-0.75_9.dat, 5.43537, 286719, 12.6, 264996, 264996, 4.30896, 52076
data\OR5x100-0.25_1.dat, 4.72909, 23228, 9.86602, 21975.6, 21975.6, 2.37757, 6043
data\OR5x100-0.25_10.dat, 2.98636, 23682, 10.3137, 21893.3, 21893.3, 3.21721, 6404
data\OR5x100-0.25_2.dat, 5.24429, 23001, 10.9033, 21627.3, 21627.3, 2.31209, 5970
data\OR5x100-0.25_3.dat, 3.60494, 22702, 11.2311, 20906, 20906, 2.78449, 6247
data\OR5x100-0.25_4.dat, 3.48857, 22713, 9.69689, 21251.9, 21251.9, 2.37225, 6399
data\OR5x100-0.25_5.dat, 7.08182, 22292, 11.0705, 21335.1, 21335.1, 1.74435, 6261
data\OR5x100-0.25_6.dat, 0.796327, 24417, 11.7632, 21717.7, 21717.7, 3.32732, 6118
data\OR5x100-0.25_7.dat, 6.38506, 23957, 11.4783, 22653.6, 22653.6, 2.13046, 6318
data\OR5x100-0.25_8.dat, 5.03631, 22231, 10.3822, 20979.5, 20979.5, 2.30026, 6362
data\OR5x100-0.25_9.dat, 6.20251, 22714, 11.1486, 21516.3, 21516.3, 2.22187, 6308
data\OR5x100-0.50_1.dat, 1.88039, 41953, 7.03612, 39748.6, 39748.6, 1.93657, 6709
data\OR5x100-0.50_10.dat, 2.45545, 43460, 7.28996, 41306, 41306, 1.87606, 6545
data\OR5x100-0.50_2.dat, 1.27159, 42004, 7.34877, 39418.5, 39418.5, 1.63743, 6667
data\OR5x100-0.50_3.dat, 2.19453, 41047, 7.26236, 38920.1, 38920.1, 1.49086, 6609
data\OR5x100-0.50_4.dat, 3.51076, 43507, 7.84416, 41553.1, 41553.1, 1.3977, 6489
data\OR5x100-0.50_5.dat, 3.53641, 40725, 7.56628, 39023.7, 39023.7, 1.50081, 6357
data\OR5x100-0.50_6.dat, 1.12517, 42444, 7.72202, 39612.2, 39612.2, 2.15751, 6203
data\OR5x100-0.50_7.dat, 3.88012, 40379, 7.86316, 38705.8, 38705.8, 1.43671, 6690
data\OR5x100-0.50_8.dat, 1.83918, 44192, 7.14964, 41801.2, 41801.2, 1.61514, 6231
data\OR5x100-0.50_9.dat, 1.92905, 42603, 7.12507, 40345.8, 40345.8, 1.54015, 6395
data\OR5x100-0.75_1.dat, 0.971215, 59241, 5.48828, 56538.8, 56538.8, 1.41592, 6254
data\OR5x100-0.75_10.dat, 2.64488, 58379, 4.98974, 56972.9, 56972.9, 1.18192, 6297
data\OR5x100-0.75_2.dat, 1.67845, 61039, 5.12556, 58899, 58899, 1.37625, 6626
data\OR5x100-0.75_3.dat, 2.12367, 58532, 4.78813, 56938.6, 56938.6, 1.34937, 6534
data\OR5x100-0.75_4.dat, 0.601862, 60115, 4.70389, 57634.1, 57634.1, 1.56881, 6328
data\OR5x100-0.75_5.dat, 1.32753, 60280, 5.13011, 57957, 57957, 1.67816, 6355
data\OR5x100-0.75_6.dat, 2.28633, 57611, 5.65851, 55622.8, 55622.8, 1.41853, 6271
data\OR5x100-0.75_7.dat, 3.06477, 59652, 5.20361, 58335.8, 58335.8, 0.859241, 6450
data\OR5x100-0.75_8.dat, 1.39467, 60662, 5.30966, 58253.5, 58253.5, 1.55941, 6632
data\OR5x100-0.75_9.dat, 2.28752, 58093, 5.54926, 56153.8, 56153.8, 1.37138, 6259
data\OR5x250-0.25_1.dat, 6.46412, 55478, 16.3945, 49588.1, 49588.1, 2.7129, 19477
data\OR5x250-0.25_10.dat, 10.3055, 52883, 15.6378, 49739.1, 49739.1, 2.09782, 20115
data\OR5x250-0.25_2.dat, 6.75917, 57317, 15.7886, 51766.4, 51766.4, 2.41738, 18960
data\OR5x250-0.25_3.dat, 11.8896, 54743, 16.6484, 51786.4, 51786.4, 1.98671, 18752
data\OR5x250-0.25_4.dat, 11.3718, 52701, 14.4753, 50855.5, 50855.5, 1.59635, 19966
data\OR5x250-0.25_5.dat, 9.60289, 53290, 15.4201, 49860.7, 49860.7, 1.90985, 19205
data\OR5x250-0.25_6.dat, 8.37259, 55047, 15.5431, 50739.2, 50739.2, 2.1352, 19724
data\OR5x250-0.25_7.dat, 11.7175, 53335, 15.8928, 50812.5, 50812.5, 1.97432, 19532
data\OR5x250-0.25_8.dat, 9.91834, 55375, 14.7478, 52406.2, 52406.2, 2.40223, 19341
data\OR5x250-0.25_9.dat, 7.05502, 57519, 16.3416, 51772, 51772, 2.28976, 20509
data\OR5x250-0.50_1.dat, 6.57874, 101931, 9.50413, 98739.1, 98739.1, 1.01932, 20706
data\OR5x250-0.50_10.dat, 6.16301, 100460, 9.8659, 96495.8, 96495.8, 1.64967, 20784
data\OR5x250-0.50_2.dat, 3.41676, 106088, 10.0924, 98755.4, 98755.4, 2.12467, 20798
data\OR5x250-0.50_3.dat, 5.86593, 102143, 10.2853, 97347.7, 97347.7, 1.46109, 20073
data\OR5x250-0.50_4.dat, 8.00124, 100631, 10.7106, 97667.4, 97667.4, 0.901169, 20446
data\OR5x250-0.50_5.dat, 6.46767, 103559, 9.95626, 99696.4, 99696.4, 0.862184, 20677
data\OR5x250-0.50_6.dat, 7.82452, 101629, 10.0685, 99154.9, 99154.9, 0.934039, 19815
data\OR5x250-0.50_7.dat, 5.92535, 102579, 10.1932, 97925.3, 97925.3, 1.34218, 20779
data\OR5x250-0.50_8.dat, 7.95382, 100369, 9.99196, 98146.6, 98146.6, 0.799753, 20985
data\OR5x250-0.50_9.dat, 3.36361, 106272, 9.9813, 98994.5, 98994.5, 1.51302, 20692
data\OR5x250-0.75_1.dat, 2.61517, 145751, 7.74706, 138070, 138070, 2.25601, 19591
data\OR5x250-0.75_10.dat, 3.86958, 148683, 8.40241, 141672, 141672, 1.95124, 19273
data\OR5x250-0.75_2.dat, 3.38327, 150668, 8.27547, 143039, 143039, 1.97357, 19157
